time,kitchen humidity [%],kitchen luminosity [Lux],kitchen magnitude accelerometer [m/s²],kitchen magnitude gyroscope [°/s],kitchen temperature [°C],entrance humidity [%],entrance luminosity [Lux],entrance magnitude accelerometer [m/s²],entrance magnitude gyroscope [°/s],entrance temperature [°C],living room humidity [%],living room luminosity [Lux],living room magnitude accelerometer [m/s²],living room magnitude gyroscope [°/s],living room temperature [°C],living room air quality index,living room CO2 [ppm],living room min sound pressure [dB],living room max sound pressure [dB]
1733952408000,62.60986328125,25.88,0,0,19.59,54.1015625,0.24,0,0,20.75,58.7646484375,21.38,0,0,19.78,125.245,1070.0,35.4,44.2
1733952409000,62.60986328125,25.88,0,0,19.59,54.1015625,0.24,0,0,20.75,58.7646484375,21.38,0,0,19.78,125.2,1070.0,35.25,42.7
1733952410000,62.60986328125,25.88,0,0,19.59,54.1015625,0.24,0,0,20.75,58.7646484375,21.38,0,0,19.78,125.2,1070.0,35.1,41.2
1733952411000,62.60986328125,25.88,0,0,19.59,54.1015625,0.24,0,0,20.75,58.7646484375,21.38,0,0,19.78,125.065,1070.5,35.4,41.9
1733952412000,62.60986328125,25.88,0,0,19.59,54.1015625,0.24,0,0,20.75,58.7646484375,21.38,0,0,19.78,124.93,1071.0,35.7,42.6
1733952413000,62.60986328125,25.88,0,0,19.59,54.1015625,0.24,0,0,20.75,58.7646484375,21.38,0,0,19.78,124.93,1071.0,36.45,50.9
1733952414000,62.60986328125,25.88,0,0,19.59,54.1015625,0.24,0,0,20.75,58.7646484375,21.38,0,0,19.78,125.035,1071.0,37.2,59.2
1733952415000,62.60986328125,25.96,0,0,19.59,54.1015625,0.24,0,0,20.75,58.7646484375,21.46,0,0,19.78,125.14,1071.0,37.05,51.75
1733952416000,62.60986328125,26.04,0,0,19.59,54.1015625,0.24,0,0,20.75,58.7646484375,21.54,0,0,19.78,125.14,1071.0,36.9,44.3
1733952417000,62.60986328125,26.04,0,0,19.59,54.1015625,0.24,0,0,20.75,58.7646484375,21.54,0,0,19.78,124.805,1071.0,38.25,48.45
1733952418000,62.60986328125,26.04,0,0,19.59,54.1015625,0.24,0,0,20.75,58.7646484375,21.54,0,0,19.78,124.47,1071.0,39.6,52.6
1733952419000,62.60986328125,26.04,0,0,19.59,54.1015625,0.24,0,0,20.75,58.7646484375,21.54,0,0,19.78,124.47,1071.0,39.85,50.4
1733952420000,62.60986328125,26.04,0,0,19.59,54.1015625,0.24,0,0,20.75,58.7646484375,21.54,0,0,19.78,124.23,1071.5,40.1,48.2
1733952421000,62.60986328125,26.04,0,0,19.59,54.1015625,0.24,0,0,20.75,58.7646484375,21.54,0,0,19.78,123.99,1072.0,38.25,46.3
1733952422000,62.60986328125,26.04,0,0,19.59,54.1015625,0.24,0,0,20.75,58.7646484375,21.54,0,0,19.78,123.99,1072.0,36.4,44.4
1733952423000,62.60986328125,26.04,0,0,19.59,54.1015625,0.24,0,0,20.75,58.7646484375,21.54,0,0,19.78,123.72,1072.0,36.55,45.35
1733952424000,62.60986328125,26.04,0,0,19.59,54.1015625,0.24,0,0,20.75,58.7646484375,21.54,0,0,19.78,123.45,1072.0,36.7,46.3
1733952425000,62.60986328125,25.96,0,0,19.59,54.1015625,0.24,0,0,20.75,58.7646484375,21.54,0,0,19.78,123.45,1072.0,35.95,50.4
1733952426000,62.60986328125,25.88,0,0,19.59,54.1015625,0.24,0,0,20.75,58.7646484375,21.54,0,0,19.78,123.05,1072.0,35.2,54.5
1733952427000,62.60986328125,25.88,0,0,19.59,54.1015625,0.24,0,0,20.75,58.7646484375,21.54,0,0,19.78,122.65,1072.0,35.1,53.75
1733952428000,62.60986328125,25.88,0,0,19.59,54.1015625,0.24,0,0,20.75,58.7646484375,21.54,0,0,19.78,122.65,1072.0,35.0,53.0
1733952429000,62.60986328125,25.88,0,0,19.59,54.1015625,0.24,0,0,20.75,58.7646484375,21.54,0,0,19.78,122.985,1072.0,35.7,49.45
1733952430000,62.60986328125,25.88,0,0,19.59,54.1015625,0.24,0,0,20.75,58.7646484375,21.54,0,0,19.78,123.32,1072.0,36.4,45.9
1733952431000,62.60986328125,25.88,0,0,19.59,54.1015625,0.24,0,0,20.75,58.7646484375,21.54,0,0,19.78,123.32,1072.0,36.1,45.05
1733952432000,62.60986328125,25.88,0,0,19.59,54.1015625,0.24,0,0,20.75,58.7646484375,21.54,0,0,19.78,123.145,1072.0,35.8,44.2
1733952433000,62.60986328125,25.88,0,0,19.59,54.1015625,0.24,0,0,20.75,58.7646484375,21.54,0,0,19.78,122.97,1072.0,35.9,43.5
1733952434000,62.60986328125,25.88,0,0,19.59,54.1015625,0.24,0,0,20.75,58.7646484375,21.54,0,0,19.78,122.97,1072.0,36.0,42.8
1733952435000,62.60986328125,25.8,0,0,19.59,54.1015625,0.24,0,0,20.75,58.7646484375,21.58,0,0,19.78,123.15,1072.0,35.6,43.65
